599-10 ,ART 206 I DO CTB ,EXECUTAR OPERACAO DE RETORNO EM LOCAIS PROIBIDOS PELA SINALIZACAO 
600-91 ,ART 206 II DO CTB ,EXECUTAR OPERACAO DE RETORNO NAS CURVAS 
600-92 ,ART 206 II DO CTB ,EXECUTAR OPERACAO DE RETORNO NOS ACLIVES OU DECLIVES 
600-93 ,ART 206 II DO CTB ,EXECUTAR OPERACAO DE RETORNO NAS PONTES 
600-94 ,ART 206 II DO CTB ,EXECUTAR OPERACAO DE RETORNO NOS VIADUTOS 
600-95 ,ART 206 II DO CTB ,EXECUTAR OPERACAO DE RETORNO NOS TUNEIS 
601-71 ,ART 206 III DO CTB ,EXECUTAR OPERACAO DE RETORNO PASSANDO POR CIMA DE CALCADA PASSEIO 
601-72 ,ART 206 III DO CTB ,EXECUTAR OPERACAO DE RETORNO PASSANDO POR CIMA DE ILHA REFUGIO 
601-73 ,ART 206 III DO CTB ,EXECUTAR OPERACAO DE RETORNO PASSANDO POR CIMA DE AJARDINAMENTO 
601-74 ,ART 206 III DO CTB ,EXECUTAR OPERACAO DE RETORNO PASSANDO POR CIMA DE CANTEIRO DIVISOR DE PISTA 
601-75 ,ART 206 III DO CTB ,EXECUTAR OPERACAO DE RETORNO PASSANDO POR CIMA DE FAIXA DE PEDESTRES 
601-76 ,ART 206 III DO CTB ,EXECUTAR OPERACAO DE RETORNO PASSANDO POR CIMA DE FAIXA DE VEIC NAO MOTORIZADOS 
602-50 ,ART 206 IV DO CTB ,EXECUTAR RETORNO NAS INTERSECOES ENTRANDO NA CONTRAMAO DA VIA TRANSVERSAL 
603-30 ,ART 206 V DO CTB ,EXECUTAR RETORNO C/PREJUIZO DA CIRCULACAO/SEGURANCA AINDA QUE EM LOCAL PERMITIDO 
604-11 ,ART 207 DO CTB ,EXECUTAR OPERACAO DE CONVERSAO A DIREITA EM LOCAL PROIBIDO PELA SINALIZACAO 
604-12 ,ART 207 DO CTB ,EXECUTAR OPERACAO DE CONVERSAO A ESQUERDA EM LOCAL PROIBIDO PELA SINALIZACAO 
605-01 ,ART 208 DO CTB ,AVANCAR O SINAL VERMELHO DO SEMAFORO 
605-02 ,ART 208 DO CTB ,AVANCAR O SINAL DE PARADA OBRIGATORIA 
605-03 ,ART 208 DO CTB ,AVANCAR SINAL VERMELHO DO SEMAFORO - FISCALIZ. ELETRONICA 
606-81 ,ART 209 DO CTB ,TRANSPOR BLOQUEIO VIARIO COM OU SEM SINALIZACAO OU DISPOSITIVOS AUXILIARES 
606-82 ,ART 209 DO CTB ,DEIXAR DE ADENTRAR AS AREAS DESTINADAS A PESAGEM DE VEICULOS 
606-83 ,ART 209 DO CTB ,EVADIR-SE PARA NAO EFETUAR O PAGAMENTO DO PEDAGIO 
607-60 ,ART 210 DO CTB ,TRANSPOR BLOQUEIO VIARIO POLICIAL 
608-41 ,ART 211 DO CTB ,ULTRAPASSAR VEICULOS MOTORIZADOS EM FILA PARADOS EM RAZAO DE SINAL LUMINOSO 
608-42 ,ART 211 DO CTB ,ULTRAPASSAR VEICULOS MOTORIZADOS EM FILA PARADOS EM RAZAO DE CANCELA 
608-43 ,ART 211 DO CTB ,ULTRAPASSAR VEIC MOTORIZADOS EM FILA PARADOS EM RAZAO DE BLOQUEIO VIARIO PARCIAL 
608-44 ,ART 211 DO CTB ,ULTRAPASSAR VEICULOS MOTORIZADOS EM FILA PARADOS EM RAZAO DE QUALQUER OBSTACULO 
609-20 ,ART 212 DO CTB ,DEIXAR DE PARAR O VEICULO ANTES DE TRANSPOR LINHA FERREA 
610-60 ,ART 213 I DO CTB ,DEIXAR DE PARAR SEMPRE QUE A MARCHA FOR INTERCEPTADA POR AGRUPAMENTO DE PESSOAS 
611-40 ,ART 213 II DO CTB ,DEIXAR DE PARAR SEMPRE QUE A MARCHA FOR INTERCEPTADA POR AGRUPAMENTO DE VEICULOS 
612-20 ,ART 214 I DO CTB ,DEIXAR DE DAR PREFERENCIA A PEDESTRE/VEIC N MOTORIZADO NA FAIXA A ELE DESTINADA 
613-00 ,ART 214 II DO CTB ,DEIXAR DE DAR PREFERENCIA A PEDESTRE/VEIC N MOT QUE N HAJA CONCLUIDO A TRAVESSIA 
614-90 ,ART 214 III DO CTB ,DEIXAR DE DAR PREFERENCIA A PEDESTRE PORT DEFICIENCIA FIS/CRIANCA/IDOSO/GESTANTE 
615-70 ,ART 214 IV DO CTB ,DEIXAR DE DAR PREFERENCIA A PEDESTRE/VEIC N MOT QDO INICIADA TRAVESSIA S/SINALIZ 
616-50 ,ART 214 V DO CTB ,DEIXAR DE DAR PREFERENCIA A PEDESTRE/VEIC NAO MOT ATRAVESSANDO A VIA TRANSVERSAL 
