584-33 ,"DEIXAR DE INDICAR C/ ANTEC, MED GESTO DE BRACO/LUZ INDICADORA, MUDANCA DIRECAO "
584-34 ,"DEIXAR DE INDICAR C/ ANTEC, MED GESTO DE BRACO/LUZ INDICADORA, MUDANCA DE FAIXA "
585-11 ,DEIXAR DE DESLOCAR C/ANTECEDENCIA VEIC P/ FAIXA MAIS A ESQUERDA QDO FOR MANOBRAR 
585-12 ,DEIXAR DE DESLOCAR C/ANTECEDENCIA VEIC P/ FAIXA MAIS A DIREITA QDO FOR MANOBRAR 
586-00 ,DEIXAR DE DAR PASSAGEM PELA ESQUERDA QUANDO SOLICITADO 
587-80 ,"ULTRAPASSAR PELA DIREITA, SALVO QDO VEIC DA FRENTE DER SINAL P/ ENTRAR ESQUERDA "
588-60 ,ULTRAP PELA DIREITA VEIC DE TRANSP COLETIVO PARADO PARA EMB/DESEMB PASSAGEIROS 
589-40 ,"DEIXAR DE GUARDAR A DISTANCIA LATERAL DE 1,50M AO PASSAR/ULTRAPASSAR BICICLETA "
590-80 ,ULTRAPASSAR PELO ACOSTAMENTO 
591-61 ,ULTRAPASSAR EM INTERSECOES 
591-62 ,ULTRAPASSAR EM PASSAGEM DE NIVEL 
592-41 ,ULTRAPASSAR PELA CONTRAMAO NAS CURVAS SEM VISIBILIDADE SUFICIENTE 
592-42 ,"ULTRAPASSAR PELA CONTRAMAO NOS ACLIVES OU DECLIVES, SEM VISIBILIDADE SUFICIENTE "
593-20 ,ULTRAPASSAR PELA CONTRAMAO NAS FAIXAS DE PEDESTRE 
594-01 ,ULTRAPASSAR PELA CONTRAMAO NAS PONTES 
594-02 ,ULTRAPASSAR PELA CONTRAMAO NOS VIADUTOS 
594-03 ,ULTRAPASSAR PELA CONTRAMAO NOS TUNEIS 
595-91 ,ULTRAPASSAR PELA CONTRAMAO VEICULO PARADO EM FILA JUNTO SINAL LUMINOSO 
595-92 ,ULTRAPASSAR PELA CONTRAMAO VEICULO PARADO EM FILA JUNTO A CANCELA/PORTEIRA 
595-93 ,ULTRAPASSAR PELA CONTRAMAO VEICULO PARADO EM FILA JUNTO A CRUZAMENTO 
595-94 ,ULTRAPASSAR PELA CONTRAMAO VEIC PARADO EM FILA JUNTO QQ IMPEDIMENTO A CIRCULACAO 
596-70 ,"ULTRAPASSAR PELA CONTRAMAO LINHA DE DIVISAO DE FLUXOS OPOSTOS, CONTINUA AMARELA "
597-50 ,"DEIXAR DE PARAR NO ACOSTAMENTO A DIREITA, P/ CRUZAR PISTA OU ENTRAR A ESQUERDA "
598-30 ,ULTRAPASSAR VEICULO EM MOVIMENTO QUE INTEGRE CORTEJO/DESFILE/FORMACAO MILITAR 
599-10 ,EXECUTAR OPERACAO DE RETORNO EM LOCAIS PROIBIDOS PELA SINALIZACAO 
600-91 ,EXECUTAR OPERACAO DE RETORNO NAS CURVAS 
600-92 ,EXECUTAR OPERACAO DE RETORNO NOS ACLIVES OU DECLIVES 
600-93 ,EXECUTAR OPERACAO DE RETORNO NAS PONTES 
600-94 ,EXECUTAR OPERACAO DE RETORNO NOS VIADUTOS 
600-95 ,EXECUTAR OPERACAO DE RETORNO NOS TUNEIS 
601-71 ,"EXECUTAR OPERACAO DE RETORNO PASSANDO POR CIMA DE CALCADA, PASSEIO "
601-72 ,"EXECUTAR OPERACAO DE RETORNO PASSANDO POR CIMA DE ILHA, REFUGIO "
601-73 ,EXECUTAR OPERACAO DE RETORNO PASSANDO POR CIMA DE AJARDINAMENTO 
601-74 ,EXECUTAR OPERACAO DE RETORNO PASSANDO POR CIMA DE CANTEIRO DIVISOR DE PISTA 
601-75 ,EXECUTAR OPERACAO DE RETORNO PASSANDO POR CIMA DE FAIXA DE PEDESTRES 
601-76 ,EXECUTAR OPERACAO DE RETORNO PASSANDO POR CIMA DE FAIXA DE VEIC NAO MOTORIZADOS 
602-50 ,"EXECUTAR RETORNO NAS INTERSECOES, ENTRANDO NA CONTRAMAO DA VIA TRANSVERSAL "
603-30 ,EXECUTAR RETORNO C/PREJUIZO DA CIRCULACAO/SEGURANCA AINDA QUE EM LOCAL PERMITIDO 
604-11 ,EXECUTAR OPERACAO DE CONVERSAO A DIREITA EM LOCAL PROIBIDO PELA SINALIZACAO 
604-12 ,EXECUTAR OPERACAO DE CONVERSAO A ESQUERDA EM LOCAL PROIBIDO PELA SINALIZACAO 
605-01 ,AVANCAR O SINAL VERMELHO DO SEMAFORO 
605-02 ,AVANCAR O SINAL DE PARADA OBRIGATORIA 
605-03 ,AVANCAR SINAL VERMELHO DO SEMAFORO - FISCALIZ. ELETRONICA 
606-81 ,TRANSPOR BLOQUEIO VIARIO COM OU SEM SINALIZACAO OU DISPOSITIVOS AUXILIARES 
606-82 ,DEIXAR DE ADENTRAR AS AREAS DESTINADAS A PESAGEM DE VEICULOS 
606-83 ,EVADIR-SE PARA NAO EFETUAR O PAGAMENTO DO PEDAGIO 
607-60 ,TRANSPOR BLOQUEIO VIARIO POLICIAL 
608-41 ,"ULTRAPASSAR VEICULOS MOTORIZADOS EM FILA, PARADOS EM RAZAO DE SINAL LUMINOSO "
608-42 ,"ULTRAPASSAR VEICULOS MOTORIZADOS EM FILA, PARADOS EM RAZAO DE CANCELA "
608-43 ,ULTRAPASSAR VEIC MOTORIZADOS EM FILA PARADOS EM RAZAO DE BLOQUEIO VIARIO PARCIAL 
608-44 ,"ULTRAPASSAR VEICULOS MOTORIZADOS EM FILA, PARADOS EM RAZAO DE QUALQUER OBSTACULO "
609-20 ,DEIXAR DE PARAR O VEICULO ANTES DE TRANSPOR LINHA FERREA 
610-60 ,DEIXAR DE PARAR SEMPRE QUE A MARCHA FOR INTERCEPTADA POR AGRUPAMENTO DE PESSOAS 
611-40 ,DEIXAR DE PARAR SEMPRE QUE A MARCHA FOR INTERCEPTADA POR AGRUPAMENTO DE VEICULOS 
612-20 ,DEIXAR DE DAR PREFERENCIA A PEDESTRE/VEIC N MOTORIZADO NA FAIXA A ELE DESTINADA 
613-00 ,DEIXAR DE DAR PREFERENCIA A PEDESTRE/VEIC N MOT QUE N HAJA CONCLUIDO A TRAVESSIA 
614-90 ,DEIXAR DE DAR PREFERENCIA A PEDESTRE PORT DEFICIENCIA FIS/CRIANCA/IDOSO/GESTANTE 
615-70 ,DEIXAR DE DAR PREFERENCIA A PEDESTRE/VEIC N MOT QDO INICIADA TRAVESSIA S/SINALIZ 
616-50 ,DEIXAR DE DAR PREFERENCIA A PEDESTRE/VEIC NAO MOT ATRAVESSANDO A VIA TRANSVERSAL 
617-31 ,"DEIXAR DE DAR PREFERENCIA EM INTERSECAO N SINALIZ, A VEIC CIRCULANDO POR RODOVIA "
617-32 ,"DEIXAR DE DAR PREFERENCIA EM INTERSECAO N SINALIZ, VEIC CIRCULANDO POR ROTATORIA "
617-33 ,"DEIXAR DE DAR PREFER EM INTERSECAO NAO SINALIZADA, A VEICULO QUE VIER DA DIREITA "
618-10 ,DEIXAR DE DAR PREFERENCIA NAS INTERSECOES COM SINALIZACAO DE DE A PREFERENCIA 
619-00 ,ENTRAR/SAIR AREA LINDEIRA SEM PRECAUCAO COM A SEGURANCA DE PEDESTRES E VEICULOS 
620-30 ,ENTRAR/SAIR DE FILA DE VEICULOS ESTACIONADOS SEM DAR PREF A PEDESTRES/VEICULOS 
*621-10 ,TRANSITAR EM VELOCIDADE SUPER MAX PERMITIDA EM ATE 20% - INFRACOES ATE 25.07.06 
*622-00 ,TRANSITAR EM VELOC SUPER A MAX PERMITIDA EM MAIS DE 20% - INFRACOES ATE 25.07.06 
*623-80 ,TRANSITAR EM VELOC SUPER A MAX PERMITIDA EM ATE DE 50% - INFRACOES ATE 25.07.06 
*624-60 ,TRANSITAR EM VELOC SUPER A MAX PERMITIDA EM MAIS DE 50% - INFRACOES ATE 25.07.06 
625-40 ,"TRANSITAR EM VELOCIDADE INFERIOR A METADE DA MAXIMA DA VIA, SALVO FAIXA DIREITA "
626-20 ,DEIXAR DE REDUZIR A VELOC QDO SE APROXIMAR DE PASSEATA/AGLOMERACAO/DESFILE/ETC 
627-00 ,DEIXAR DE REDUZIR A VELOC ONDE O TRANSITO ESTEJA SENDO CONTROLADO PELO AGENTE 
628-91 ,DEIXAR DE REDUZIR A VELOCIDADE DO VEICULO AO APROXIMAR-SE DA GUIA DA CALCADA 
628-92 ,DEIXAR DE REDUZIR A VELOCIDADE DO VEICULO AO APROXIMAR-SE DO ACOSTAMENTO 
629-70 ,DEIXAR DE REDUZIR VELOCIDADE DO VEICULO AO APROXIMAR-SE INTERSECAO N SINALIZADA 
